Menu,Section,Anchor Text,URL,Subtext,Icon,Vercel mockup: https://liferay-homepage-header.vercel.app/,,
Left-aligned,,,,,,,,
Platform,Digital Experience,Platform Overview,https://www.liferay.com/platform,Explore the complete digital experience platform.,,,,
,,Content Marketing Platform,https://www.liferay.com/capabilities/cmp,Plan and deliver marketing campaigns.,,,,
,,Digital Asset Management,https://www.liferay.com/capabilities/dam,Organize and publish assets in one place.,,,,
,,Personalization,https://www.liferay.com/capabilities/personalization,Deliver personalized content to every visitor.,,,,
,,Sites,https://www.liferay.com/capabilities/sites,Build and manage on-brand websites fast.,,,,
,,Analytics & Optimization,https://www.liferay.com/capabilities/analytics,Track engagement and optimize experiences.,,,,
,Content Management,CMS Overview,https://www.liferay.com/capabilities/cms,Create and publish content with ease.,,,,
,,Enterprise,https://www.liferay.com/capabilities/cms/enterprise,Govern content across global teams.,,,,
,,Headless ,https://www.liferay.com/capabilities/cms/headless,Deliver content anywhere via API.,,,,
,,AI Search & SEO,https://www.liferay.com/capabilities/cms/seo,Optimize content for AI and search.,,,,
,,Intranet ,https://www.liferay.com/capabilities/cms/intranet,Keep employees informed and connected.,,,,
,,Open-Source,https://www.liferay.com/capabilities/cms/open-source,"API-first, open source, built to scale.",,,,
,Digital Commerce,Commerce Overview,https://www.liferay.com/capabilities/commerce,"End-to-end commerce, built into your DXP.",,,,
,,B2B Commerce Platform,https://www.liferay.com/capabilities/commerce/b2b-commerce-platform,Simplify complex B2B buying journeys.,,,,
,,Digital Storefronts,https://www.liferay.com/capabilities/commerce/digital-storefronts,Launch storefronts that convert.,,,,
,,Composable Commerce Platform,https://www.liferay.com/capabilities/commerce/composable,Mix and match your commerce stack.,not published yet,,,
,,Headless Commerce,https://www.liferay.com/capabilities/commerce/headless,Power commerce through flexible APIs.,not published yet,,,
,,Product Information Management,https://www.liferay.com/capabilities/commerce/pim,Centralize product data for every channel.,not published yet,,,
,Capabilities,AI Agent Builder,https://www.liferay.com/capabilities/ai-hub,Build and deploy smart AI agents fast.,,,,
,,Internal Search,https://www.liferay.com/capabilities/search,Help users find answers instantly.,,,,
,,Integration,https://www.liferay.com/capabilities/integration,Connect Liferay to your existing systems.,,Featured (optional since this section is pretty extensive),"How Headless CMSes, DXPs, and Liferay DXP Compare",https://www.liferay.com/resources/ebooks/How+Headless+CMSes%2C+DXPs%2C+and+Liferay+DXP+Compare
,,Low-Code,https://www.liferay.com/capabilities/low-code,Build apps and workflows without code.,,,Demystifying AI - An Introduction for Enterprises,https://www.liferay.com/blog/current-experiences/demystifying-ai-an-introduction-for-enterprises
,,Security,https://www.liferay.com/capabilities/security,"Enterprise-grade security, built in.",,,7 Reasons Why Our Customers Choose Liferay DXP,https://www.liferay.com/blog/liferay-experience/7-reasons-why-our-customers-choose-liferay-dxp
,,Content Delivery Network,https://www.liferay.com/capabilities/cdn,"Deliver content fast, worldwide.",,,,
,Ready to evaluate? See Subscriptions & deployment options →,,https://www.liferay.com/subscriptions,Compare subscription and deployment plans.,DESIGN: subtle horizontal strip at the bottom of the Platform dropdown,,,
